数据库：分省年度数据
指标：15岁及以上男性文盲人口数(人口抽样调查)(人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,53,57,47,60,,71,79,99,138,1393,119,127,144,,,,,,,
天津市,66,51,55,60,,57,72,75,66,1303,103,125,129,,,,,,,
河北省,362,432,516,490,,672,646,800,883,13842,1061,1150,1095,,,,,,,
山西省,229,168,213,242,,286,299,289,328,5673,451,425,499,,,,,,,
内蒙古自治区,237,238,223,242,,398,440,456,500,8751,682,857,819,,,,,,,
辽宁省,141,205,217,197,,298,278,320,358,5700,372,419,462,,,,,,,
吉林省,176,143,121,143,,237,286,291,342,5436,300,302,319,,,,,,,
黑龙江省,198,188,232,210,,376,332,366,426,7584,492,538,656,,,,,,,
上海市,122,184,87,87,,104,116,106,131,2019,170,157,249,,,,,,,
江苏省,593,443,602,574,,919,987,1040,1132,17528,1793,2168,1979,,,,,,,
浙江省,626,560,520,657,,715,918,961,981,16687,1542,1459,1528,,,,,,,
安徽省,787,879,869,896,,1649,1762,2035,1924,34197,2092,1925,2478,,,,,,,
福建省,293,241,215,214,,513,464,601,590,10028,1017,826,881,,,,,,,
江西省,248,201,256,249,,318,438,459,648,10308,742,662,813,,,,,,,
山东省,872,834,1051,1147,,1301,1349,1388,1541,31741,2526,2626,2004,,,,,,,
河南省,795,882,949,1017,,1315,1435,1496,1749,26929,1741,1907,1784,,,,,,,
湖北省,553,589,610,596,,944,924,1022,1081,17902,1402,1357,1910,,,,,,,
湖南省,437,390,523,541,,593,726,637,747,15200,1097,1227,1191,,,,,,,
广东省,475,407,368,484,,490,490,513,669,10634,826,869,801,,,,,,,
广西壮族自治区,201,252,268,283,,401,438,456,424,9040,746,826,774,,,,,,,
海南省,54,65,64,64,,105,113,116,135,1794,89,126,109,,,,,,,
重庆市,299,290,326,298,,434,468,452,567,9658,906,552,695,,,,,,,
四川省,948,1034,1163,1177,,1463,1778,1784,2157,40946,2450,2424,2748,,,,,,,
贵州省,723,745,757,723,,826,925,1072,1231,19190,1444,1718,1528,,,,,,,
云南省,745,893,825,885,,1335,1262,1590,1617,27653,1699,2327,2244,,,,,,,
西藏自治区,317,374,287,214,,316,269,279,316,4374,322,408,311,,,,,,,
陕西省,441,317,384,461,,632,690,713,771,12024,933,1092,1504,,,,,,,
甘肃省,469,421,489,566,,955,1022,1145,1294,16601,1323,1429,1419,,,,,,,
青海省,171,173,154,133,,151,191,216,235,4101,275,280,291,,,,,,,
宁夏回族自治区,101,109,100,110,,128,123,167,189,3271,201,220,222,,,,,,,
新疆维吾尔自治区,182,234,207,221,,199,277,238,389,6370,422,384,487,,,,,,,
注：2005年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。
数据来源：国家统计局
