数据库：分省年度数据
指标：九人户家庭户户数(人口抽样调查)(户)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,2,2,1,1,,,1,,1,33,1,2,0,,,,,,,
天津市,1,,,1,,1,1,1,1,8,2,,1,,,,,,,
河北省,29,16,30,41,,14,23,13,10,264,30,15,24,,,,,,,
山西省,10,7,8,10,,10,8,7,14,163,15,22,16,,,,,,,
内蒙古自治区,,,1,,,1,1,1,2,42,6,4,3,,,,,,,
辽宁省,3,3,4,,,1,1,1,2,50,7,4,8,,,,,,,
吉林省,2,5,5,6,,2,2,3,4,87,9,7,7,,,,,,,
黑龙江省,2,4,,4,,2,3,2,3,63,5,5,7,,,,,,,
上海市,1,1,2,2,,1,1,1,1,25,,,4,,,,,,,
江苏省,33,20,22,28,,14,7,10,16,209,25,30,26,,,,,,,
浙江省,11,4,5,7,,9,4,4,3,142,9,6,6,,,,,,,
安徽省,23,16,11,19,,28,4,8,13,258,29,31,36,,,,,,,
福建省,13,12,24,11,,21,13,14,18,212,15,16,12,,,,,,,
江西省,43,43,46,49,,35,35,22,25,457,50,35,42,,,,,,,
山东省,11,11,18,13,,11,4,9,9,98,13,18,22,,,,,,,
河南省,63,47,60,73,,22,27,21,16,554,81,103,45,,,,,,,
湖北省,24,13,26,27,,11,11,10,14,264,14,14,17,,,,,,,
湖南省,45,54,42,44,,21,33,16,21,361,51,47,33,,,,,,,
广东省,163,129,131,130,,90,110,66,95,1696,137,146,111,,,,,,,
广西壮族自治区,58,52,54,43,,30,32,39,30,670,87,61,62,,,,,,,
海南省,15,12,12,13,,9,11,6,12,234,22,16,23,,,,,,,
重庆市,4,4,3,3,,4,7,4,6,79,6,22,17,,,,,,,
四川省,24,22,18,14,,11,7,17,8,455,62,48,43,,,,,,,
贵州省,14,10,16,15,,26,19,34,27,377,26,26,31,,,,,,,
云南省,9,26,22,24,,23,16,28,29,340,37,41,38,,,,,,,
西藏自治区,18,16,14,19,,15,15,21,16,305,18,17,14,,,,,,,
陕西省,8,7,12,6,,3,7,4,7,145,14,22,18,,,,,,,
甘肃省,16,17,26,19,,17,26,20,19,258,35,34,32,,,,,,,
青海省,4,5,7,8,,7,11,9,10,116,12,14,14,,,,,,,
宁夏回族自治区,3,1,4,2,,2,3,5,5,66,8,6,8,,,,,,,
新疆维吾尔自治区,25,18,25,21,,20,24,16,25,353,24,30,37,,,,,,,
注：2005年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。
数据来源：国家统计局
